tt0	status	gates	wall_s	chain
0000	sat	4	0.06	F = n1 ; FN = n3 ; n3 = b | n2 ; n2 = a | bN ; n1 = b & n0 ; n0 = a & bN
0002	sat	6	0.12	F = n5 ; FN = n4 ; n5 = dN & n2 ; n4 = n0 | n3 ; n3 = aN | b ; n2 = cN & n1 ; n1 = a & bN ; n0 = c | d
0006	sat	10	12.11	F = n9 ; FN = n7 ; n9 = n6 & n8 ; n8 = cN & n1 ; n7 = d | n5 ; n6 = dN & n4 ; n5 = c | n3 ; n4 = aN | bN ; n3 = n0 & n2 ; n2 = aN | b ; n1 = a | b ; n0 = a | bN
000a	sat	4	0.05	F = n1 ; FN = n3 ; n3 = d | n2 ; n2 = aN | c ; n1 = cN & n0 ; n0 = a & dN
000e	sat	6	0.12	F = n3 ; FN = n5 ; n5 = d | n4 ; n4 = c | n1 ; n3 = n0 & n2 ; n2 = a | b ; n1 = aN & bN ; n0 = cN & dN
0016	sat	14	329.32	F = n10 ; FN = n13 ; n13 = d | n12 ; n12 = n9 & n11 ; n11 = n5 | n8 ; n10 = n4 & n7 ; n9 = bN | n6 ; n8 = a & c ; n7 = b | n6 ; n6 = a | c ; n5 = b | n1 ; n4 = n2 & n3 ; n3 = dN & n0 ; n2 = bN | n1 ; n1 = aN & cN ; n0 = aN | cN
0018	sat	12	190.75	F = n11 ; FN = n10 ; n11 = n2 & n5 ; n10 = n6 | n9 ; n9 = d | n8 ; n8 = n4 & n7 ; n7 = aN | bN ; n6 = b & c ; n5 = n0 & n3 ; n4 = a | cN ; n3 = dN & n1 ; n2 = bN | cN ; n1 = aN | b ; n0 = a | c
001a	sat	10	9.66	F = n6 ; FN = n9 ; n9 = d | n8 ; n8 = n4 & n7 ; n7 = cN | n5 ; n6 = dN & n3 ; n5 = a | b ; n4 = aN | c ; n3 = n1 & n2 ; n2 = a | n0 ; n1 = aN | cN ; n0 = bN & c
001e	sat	10	7.83	F = n8 ; FN = n9 ; n9 = n4 | n6 ; n8 = dN & n7 ; n7 = n1 | n5 ; n6 = c & n2 ; n5 = cN & n2 ; n4 = d | n3 ; n3 = cN & n0 ; n2 = a | b ; n1 = c & n0 ; n0 = aN & bN
002e	sat	8	0.46	F = n7 ; FN = n6 ; n7 = dN & n5 ; n6 = d | n4 ; n5 = n1 & n2 ; n4 = n0 | n3 ; n3 = b & c ; n2 = a | b ; n1 = bN | cN ; n0 = aN & bN
003c	sat	8	0.67	F = n7 ; FN = n6 ; n7 = dN & n4 ; n6 = d | n5 ; n5 = n2 & n3 ; n4 = n0 & n1 ; n3 = b | cN ; n2 = bN | c ; n1 = b | c ; n0 = bN | cN
003e	sat	10	16.40	F = n4 ; FN = n9 ; n9 = n6 | n8 ; n8 = bN & n7 ; n7 = aN & cN ; n6 = d | n5 ; n5 = b & c ; n4 = dN & n3 ; n3 = n0 | n2 ; n2 = bN & n1 ; n1 = a | c ; n0 = b & cN
007e	sat	12	189.88	F = n11 ; FN = n7 ; n11 = n8 & n10 ; n10 = aN | n9 ; n9 = bN | cN ; n8 = dN & n5 ; n7 = d | n6 ; n6 = n2 & n4 ; n5 = b | n3 ; n4 = a | cN ; n3 = a | c ; n2 = n0 & n1 ; n1 = aN | b ; n0 = bN | c
008e	sat	10	37.77	F = n9 ; FN = n8 ; n9 = dN & n7 ; n8 = n3 | n5 ; n7 = n1 & n6 ; n6 = b | n2 ; n5 = aN & n4 ; n4 = bN | c ; n3 = d | n0 ; n2 = a & cN ; n1 = a | cN ; n0 = bN & c
0096	sat	14	325.89	F = n13 ; FN = n11 ; n13 = n6 & n12 ; n12 = aN | n9 ; n11 = n5 | n10 ; n10 = aN & n9 ; n9 = n7 & n8 ; n8 = bN | c ; n7 = b | cN ; n6 = dN & n3 ; n5 = d | n4 ; n4 = a & n2 ; n3 = a | n2 ; n2 = n0 | n1 ; n1 = bN & c ; n0 = b & cN
009e	sat	14	325.71	F = n13 ; FN = n9 ; n13 = dN & n12 ; n12 = n10 | n11 ; n11 = aN & n1 ; n10 = n2 & n4 ; n9 = d | n8 ; n8 = n6 & n7 ; n7 = cN | n2 ; n6 = n3 & n5 ; n5 = aN | n1 ; n4 = cN | n0 ; n3 = bN | c ; n2 = a | b ; n1 = bN & c ; n0 = a & b
00aa	sat	2	0.02	F = n1 ; FN = n0 ; n1 = a & dN ; n0 = aN | d
00ae	sat	6	0.12	F = n4 ; FN = n5 ; n5 = d | n3 ; n4 = dN & n2 ; n3 = aN & n1 ; n2 = a | n0 ; n1 = bN | c ; n0 = b & cN
00be	sat	10	15.23	F = n9 ; FN = n7 ; n9 = dN & n8 ; n8 = a | n6 ; n7 = d | n3 ; n6 = n4 & n5 ; n5 = b | c ; n4 = bN | cN ; n3 = n0 & n2 ; n2 = aN & n1 ; n1 = b | cN ; n0 = bN | c
00ee	sat	4	0.05	F = n3 ; FN = n2 ; n3 = dN & n1 ; n2 = d | n0 ; n1 = a | b ; n0 = aN & bN
00fe	sat	6	0.11	F = n5 ; FN = n4 ; n5 = dN & n2 ; n4 = d | n3 ; n3 = aN & n1 ; n2 = a | n0 ; n1 = bN & cN ; n0 = b | c
0116	timeout		28800.11	
0118	timeout		28800.09	
011a	sat	14	328.32	F = n13 ; FN = n11 ; n13 = n7 | n12 ; n12 = n6 & n10 ; n11 = n2 | n9 ; n10 = cN | dN ; n9 = aN & n8 ; n8 = n3 | n5 ; n7 = a & n3 ; n6 = n0 & n1 ; n5 = b | n4 ; n4 = c & d ; n3 = cN & dN ; n2 = a & n0 ; n1 = aN & bN ; n0 = c | d
011e	sat	14	312.71	F = n13 ; FN = n12 ; n13 = n6 & n11 ; n12 = n8 | n10 ; n11 = n5 | n9 ; n10 = n5 & n9 ; n9 = a | b ; n8 = n3 & n7 ; n7 = cN | d ; n6 = n1 & n4 ; n5 = c | d ; n4 = cN | n2 ; n3 = c | n2 ; n2 = dN & n0 ; n1 = dN | n0 ; n0 = aN & bN
012a	sat	14	327.95	F = n8 ; FN = n13 ; n13 = n5 | n12 ; n12 = n10 & n11 ; n11 = d | n9 ; n10 = n3 | n6 ; n9 = b & c ; n8 = n4 & n7 ; n7 = n2 | n3 ; n6 = b | c ; n5 = aN & dN ; n4 = dN | n0 ; n3 = a & bN ; n2 = cN & n1 ; n1 = a | d ; n0 = aN & bN
012c	ub	15	22763.57	F = n11 ; FN = n14 ; n14 = n5 | n13 ; n13 = n6 | n12 ; n12 = bN & n8 ; n11 = n7 & n10 ; n10 = n4 & n9 ; n9 = n2 | n8 ; n8 = cN & dN ; n7 = c | n1 ; n6 = c & n1 ; n5 = d & n3 ; n4 = d | n3 ; n3 = a | b ; n2 = bN & n0 ; n1 = aN | b ; n0 = cN | dN
012e	sat	13	224.29	F = n12 ; FN = n11 ; n12 = n2 & n6 ; n11 = n9 | n10 ; n10 = n1 & n8 ; n9 = c & n3 ; n8 = a | n7 ; n7 = b | dN ; n6 = n4 | n5 ; n5 = cN & n3 ; n4 = a & bN ; n3 = b | d ; n2 = dN | n0 ; n1 = d | n0 ; n0 = aN & bN
013c	sat	14	331.71	F = n12 ; FN = n13 ; n13 = n6 | n9 ; n12 = n7 | n11 ; n11 = bN & n10 ; n10 = n2 & n8 ; n9 = n1 | n5 ; n8 = dN | n3 ; n7 = b & n4 ; n6 = b & n2 ; n5 = bN & n4 ; n4 = cN & dN ; n3 = aN & cN ; n2 = c | d ; n1 = d & n0 ; n0 = a | c
013e	sat	14	312.31	F = n12 ; FN = n13 ; n13 = n8 & n11 ; n12 = n9 & n10 ; n11 = dN | n5 ; n10 = n3 | n5 ; n9 = n2 | n7 ; n8 = n3 | n7 ; n7 = aN & n6 ; n6 = bN & cN ; n5 = c | n4 ; n4 = a | b ; n3 = d | n0 ; n2 = dN & n1 ; n1 = bN | cN ; n0 = b & c
0168	timeout		28800.10	
016a	timeout		28800.11	
016e	ub	15	22954.35	F = n14 ; FN = n13 ; n14 = n10 & n12 ; n13 = n5 | n9 ; n12 = n4 | n11 ; n11 = cN & n8 ; n10 = dN | n3 ; n9 = n7 & n8 ; n8 = d | n6 ; n7 = c | n4 ; n6 = a & b ; n5 = dN & n3 ; n4 = n0 | n2 ; n3 = aN & bN ; n2 = b & n1 ; n1 = aN | d ; n0 = a & bN
017e	timeout		28800.11	
0180	sat	14	318.67	F = n11 ; FN = n13 ; n13 = n2 | n12 ; n12 = n4 & n6 ; n11 = n9 & n10 ; n10 = aN | n8 ; n9 = n3 | n7 ; n8 = b & dN ; n7 = d & n5 ; n6 = aN | cN ; n5 = bN & cN ; n4 = b | c ; n3 = a & c ; n2 = n0 | n1 ; n1 = bN & dN ; n0 = a & d
0182	timeout		28800.11	
0186	timeout		28800.02	
